gene,label
RSRC1,NA
GIMAP4,NA
NEK6,NA
RRAS2,NA
RBMXL2,NA
SREK1,NA
SERPINB12,NA
SLC1A5,NA
NFE2,NA
UNC93B1,NA
RANBP1,NA
MTHFD1,NA
PHYH,NA
ATP5F1D,NA
ATP2B2,NA
MPP3,NA
NUCKS1,NA
ZBTB25,NA
NXF1,NA
TBC1D7,NA
PHC2,NA
RPL18,NA
PCBP2,NA
CASP14,NA
AATF,NA
HEMGN,NA
PCNT,NA
CCT3,NA
PPFIA1,NA
PPP2R5D,NA
DDX39A,0
IL17RC,NA
KLRC1,NA
FATE1,NA
H1FX,NA
NKAP,NA
MAPK8IP2,NA
DCAF4,NA
COL3A1,1
OXCT1,NA
SLC25A3,NA
WDR12,NA
KIF11,NA
ATP2C1,NA
SOX11,NA
CKAP5,NA
RCL1,NA
CPSF6,NA
REPIN1,0
EIF3F,NA
DCAF13,NA
DPP4,NA
KCND3,NA
CFHR4,NA
DLAT,NA
MAP2,NA
CHEK2,1
DDOST,NA
LPAR2,NA
TDRKH,0
HMG20A,NA
ELOVL1,NA
PDZK1,NA
MATR3,NA
DMRTB1,NA
MRPL11,NA
BRMS1L,0
ADAM15,NA
KDM5B,NA
NRBF2,NA
HIST1H2BB,NA
ATP2A2,NA
HEATR1,0
ATPAF2,NA
WDFY3,NA
GABARAPL1,NA
EHHADH,NA
MYL5,NA
PPP1R9B,NA
CAMK2D,NA
POLDIP2,NA
SRSF6,NA
MPP2,NA
ARHGEF2,NA
SGTA,NA
CTBP2,NA
IMPDH2,NA
ARHGEF1,NA
SCN4A,NA
ABCC1,NA
GPS1,NA
EIF5,NA
STK25,NA
UBE2S,NA
FBXW8,NA
HIF1AN,NA
FREM1,NA
SMIM3,NA
VDAC1,NA
FEN1,1
CPSF2,0
CCDC88A,NA
BEX3,0
SMC4,NA
MRPL48,NA
AQR,NA
GRIP1,NA
SPERT,0
DCAF8,NA
CLEC6A,NA
CLEC4D,NA
U2AF1,1
RPS6,NA
YAF2,NA
MIF4GD,NA
LBP,NA
PRDX4,NA
FCN3,NA
GLYR1,NA
CD63,NA
TTK,NA
RABAC1,0
U2AF1L4,NA
DNMT1,1
DISC1,NA
ACIN1,NA
ATG101,NA
ADAM8,NA
POLDIP3,NA
ATP6V1B2,NA
AGK,NA
STOML2,NA
APOBEC3G,NA
MOV10,NA
MRPS31,NA
GZMH,NA
FN1,NA
SOX13,NA
PCK1,NA
RPS14,NA
PHLPP2,0
CAMK2G,NA
ELP2,NA
ANXA9,NA
SERPINB9,0
ATP23,0
MYCBP2,NA
TCP10,NA
RGS20,0
DDX3Y,NA
HIST1H3A,1
HIST1H3B,1
HIST1H3C,NA
HIST1H3I,NA
HIST1H3H,NA
HIST1H3G,NA
HIST1H3F,NA
HIST1H3E,NA
HIST1H3J,NA
HIST1H3D,NA
CERK,NA
PIMREG,NA
MMP13,NA
KLF11,NA
SYNCRIP,NA
MSH2,1
CACNB1,NA
PRPF40A,NA
HIST1H2BC,NA
HIST1H2BE,NA
HIST1H2BG,NA
HIST1H2BF,NA
HIST1H2BI,NA
GGA1,NA
MRPS7,NA
SFPQ,1
PTPRM,NA
RP9,NA
ZNF622,NA
BABAM1,NA
TNRC6B,NA
NCOA5,NA
RPL10A,NA
ARL2BP,NA
COIL,NA
LMNA,1
CCNJL,0
SCYL1,NA
PHF19,NA
MSR1,NA
STK19,NA
OSTC,0
GTPBP4,0
KCND2,NA
CACNA1I,NA
FBXO3,NA
HMGN2,NA
TBL3,NA
AGO1,NA
PGAM5,NA
VHL,1
TRIM21,NA
ATP5MG,0
TESC,NA
PREX1,NA
MAP1LC3C,0
RFC5,NA
ESRP1,NA
NIN,1
COMT,1
SMN2,NA
SMN1,NA
TIAM1,NA
ADARB1,NA
CSE1L,NA
ATP5PD,NA
TRA2B,NA
RPL24,NA
PHC1,NA
RPL32,0
RLIM,NA
DDX1,NA
ARPC4,NA
PPM1K,NA
PSMC6,NA
TGOLN2,NA
PTPN4,NA
CASC3,0
RPS10,NA
IFT57,NA
STK17B,NA
HIST1H1C,NA
UPF1,NA
GRK4,NA
ECHDC1,NA
CLPX,NA
BRD4,1
PTGES3,NA
MXI1,NA
AZU1,NA
PITX3,NA
RASIP1,NA
RBMXL1,0
BOP1,NA
PIM1,1
MRPL28,NA
DHX36,NA
STRBP,NA
FGA,NA
BRCC3,NA
DDX23,NA
GADD45GIP1,NA
MKNK2,NA
HIST2H2BE,NA
GCM1,NA
RNF125,NA
PDCD6IP,NA
SIN3B,NA
FUS,1
HIST1H1D,NA
MZT2A,0
IKBIP,0
FASN,1
TFIP11,NA
CLNS1A,NA
TSPAN6,NA
LITAF,NA
EEF1D,NA
NAA10,NA
MYOZ2,NA
MED10,NA
WDR43,NA
HDGF,NA
PCGF5,NA
KLHL9,NA
SH3GLB1,0
CLK2,NA
ANXA4,NA
PADI4,NA
TNFSF14,NA
WWP2,NA
TTLL7,0
DCAF6,NA
SNRNP40,NA
LBR,NA
PCGF1,NA
ACLY,NA
KLC2,NA
PRKX,NA
MYBBP1A,NA
ROCK2,NA
PUM2,NA
ARHGAP21,NA
SUPT6H,NA
EDARADD,NA
CARD9,NA
UBE2E1,NA
PTPRE,NA
TBPL1,0
SENP2,NA
RPL27,NA
NUDT21,NA
SCML2,NA
NOL11,NA
SHANK3,NA
TRIM16L,0
SFTPD,NA
BBS2,NA
PSME3,NA
MEX3B,NA
OLFM4,1
NUMBL,NA
EEF1A2,NA
NPM1,1
MBD3,NA
MCRS1,NA
HMGB2,NA
MRPS21,NA
EIF4B,NA
REV1,0
MAP3K10,NA
ADRA1D,NA
PFKFB3,NA
GTF3C3,NA
CACNA1H,NA
PNN,NA
ASPH,NA
ASNA1,NA
SRPK1,NA
BMF,NA
TMX1,0
HIST1H2BM,NA
CCT4,NA
ZBTB24,NA
SNRPA1,NA
SLC22A8,NA
SH3PXD2A,0
SKOR2,NA
AIRE,NA
CDC73,1
LTV1,0
CDH3,NA
CNNM3,NA
MRPL49,NA
ETV7,NA
FCER1A,NA
KRTAP4-2,0
ZFP36L1,NA
FLI1,1
MKNK1,NA
EPB41,NA
DTNBP1,NA
RPL26,NA
CYTH1,NA
FXR2,NA
PKP3,NA
ACAT2,NA
RAB7A,0
TFAM,NA
LUC7L,NA
BTBD2,0
RIT1,NA
HSD17B4,NA
NTMT1,NA
PLOD3,NA
DDX18,NA
NECAP1,NA
UTP14A,NA
RPL36,NA
IQUB,0
ABI2,NA
MED23,NA
ZNF512,0
MYOG,NA
BBS4,NA
MYO5B,NA
SIGLEC5,NA
NCOA6,NA
PRRC2A,NA
PKP1,NA
ZNF300,NA
ATP5ME,0
GTF3C4,0
DUT,NA
PRKG1,NA
AFG3L2,NA
HNRNPH1,0
RPLP2,NA
SYT1,NA
DDX24,NA
FCGR2A,NA
SELPLG,NA
POGZ,NA
LGMN,NA
SORBS2,1
SLAIN2,NA
HABP4,NA
KCNJ2,NA
RPS15,NA
EP400,NA
GDI2,NA
CDC23,NA
LLGL2,0
ITPR3,NA
RTF1,NA
JKAMP,NA
HMGN4,0
NAA15,NA
GMCL2,0
AQP9,NA
EIF2S1,NA
PROX1,NA
ARFGEF2,NA
MND1,NA
MORF4L2,0
TRIM37,NA
UCHL5,NA
HNRNPA3,0
AIMP2,NA
PPIG,NA
LMNTD1,NA
NOXO1,NA
ARL6IP4,NA
AHCTF1,NA
SPECC1,1
EPB41L2,NA
RPS6KB2,0
DNAJC8,0
TCEAL1,NA
MRPL4,NA
AEBP2,NA
MAN2A2,NA
BTBD10,NA
FXR1,NA
KHDRBS2,NA
PPP1R15B,NA
EPHX1,1
ASL,NA
RPL12,NA
RPL11,NA
STX11,NA
STK38,NA
EAF1,NA
SPRY3,NA
TMOD3,NA
EPN1,NA
UBE2E2,NA
PRPSAP1,NA
ZNF564,0
KRTAP10-8,0
CUX2,NA
L3MBTL3,0
RET,1
TOX2,NA
UBAP2L,NA
CSTF2,0
AMOT,NA
PDCD11,NA
EFS,NA
BFSP2,NA
TNS2,NA
KCTD6,0
BOD1,NA
VPS72,NA
ATP1B1,NA
CRNKL1,1
CCR1,NA
PLP2,NA
TERF2IP,NA
PCGF3,NA
TPM1,NA
RBPMS,NA
RPL7A,NA
AP1M2,NA
USP22,NA
SMUG1,NA
AGPS,NA
LACRT,NA
KCNA4,NA
SETD1A,NA
MYO1C,NA
DCD,NA
NUCB2,NA
STK38L,NA
DUSP15,NA
MRPL12,NA
CNOT8,NA
KRTAP9-2,0
CREB3,NA
FBXO31,NA
MRPL45,NA
ISY1,NA
CHMP5,NA
BCAS2,NA
ECSIT,0
RBM10,1
CCL21,NA
TOR1AIP1,NA
GRK5,NA
TBXA2R,NA
H1F0,NA
SEPT5,NA
RPL35A,NA
CHERP,0
PITX1,NA
SHTN1,1
MUL1,NA
ZFYVE27,NA
LCP1,1
LMNB2,NA
ZFYVE26,NA
HOXC6,NA
NME4,NA
SERPINC1,NA
HADH,0
NOP10,0
PTPRF,NA
CREM,NA
MRPL43,NA
SLC25A13,NA
ADAMTS13,NA
N4BP1,NA
PACRG,NA
GAR1,0
CPLX2,NA
PPM1G,NA
GDAP1,NA
HIST1H1E,NA
SOD2,1
BAG6,NA
TARS,NA
SMAP1,NA
RGS10,0
PRKACB,NA
ZNF22,NA
WDR3,NA
PTBP3,0
SETBP1,1
THOC6,NA
KCNC1,NA
LMO1,1
FKBP14,NA
ROPN1L,NA
HCLS1,NA
TNFRSF17,1
NUP98,1
BATF2,NA
RPS7,NA
SCEL,NA
LAD1,NA
SARM1,0
FBXO11,1
BRD8,NA
LMO4,NA
MYEF2,0
RPLP0,NA
BAIAP2,NA
IKZF3,NA
UACA,NA
HINT2,NA
TNFSF13,NA
PDE4A,NA
NIFK,NA
PKP4,NA
LMCD1,NA
RPS26,NA
LEO1,NA
TXNDC5,NA
RAB1B,NA
LARP7,NA
VAPA,NA
APOD,NA
RPL18A,NA
ATG4D,NA
SYCE1,NA
C19orf12,NA
AIM2,NA
L3MBTL2,NA
NAT10,NA
RPL41,NA
PTGDR2,NA
PTGDR,NA
MRPL34,NA
TAOK1,NA
FAM98B,NA
ZMYM5,NA
KANK1,NA
PAFAH1B2,1
NAP1L5,NA
IPO8,NA
TCEAL3,0
ERCC8,NA
XAB2,NA
MOGS,NA
APBB1IP,0
EIF3D,NA
DYNLT1,0
HAX1,NA
GAS6,NA
DPP6,NA
CHGB,NA
SOX17,1
DCTN6,NA
ATXN1,NA
HMBOX1,0
ATIC,1
RPS4Y1,NA
RPS12,NA
ATP6V1G1,NA
ZBTB7B,NA
PPP6R2,NA
RFC4,NA
SLC5A6,NA
NUFIP2,NA
TCEAL2,0
TMSB10,NA
MNAT1,NA
NAPA,NA
RBFOX2,NA
GAMT,NA
TIPRL,NA
COPA,NA
C4A,NA
SYTL1,NA
RAB27A,NA
KLHL13,NA
RPL15,NA
RHOT2,NA
H2AFY2,NA
PTPRB,1
PUM3,0
HNRNPH3,0
ACTA2,NA
ARPP19,NA
PPP1R8,NA
MTREX,NA
NDUFB6,NA
SPN,NA
FAM32A,NA
DR1,NA
VIPR2,NA
NME3,NA
LAMTOR3,NA
AK1,NA
C1QB,NA
COX6A2,NA
GBA2,NA
DES,NA
RRAGA,NA
ASB6,NA
SF3A3,NA
TCP10L,NA
CRELD2,0
RPS27A,NA
MYO1E,NA
NGEF,NA
DSTN,NA
KIR2DL1,NA
TECR,NA
EXOSC9,NA
GPI,NA
AHCYL1,NA
SAFB2,NA
SNRPF,NA
VMP1,NA
OIP5,NA
HJV,NA
BMP6,1
LYRM7,NA
PSRC1,NA
TREX1,NA
CLU,1
ARHGAP24,NA
DGKZ,NA
TAF9B,NA
NUP93,NA
RGS5,NA
FOXK1,NA
POU2F2,NA
TRAIP,NA
CBX7,NA
SLC9A3R2,NA
TSC22D4,NA
TNFAIP1,NA
EPM2AIP1,NA
RPL23A,NA
PRKAA2,NA
TPM2,NA
POU2AF1,1
HIST1H2BA,NA
RASL10B,NA
PRRC1,0
SPIB,NA
NCR3,NA
NCR3LG1,0
MRPL19,NA
PCGF6,NA
TCF19,NA
HIST2H2AC,NA
ADSS,NA
HOXC10,NA
PPP2CB,NA
NUP133,NA
ZC3H12A,NA
RPL34,NA
ABCE1,NA
RPS19BP1,NA
CENPE,NA
TROAP,NA
PDLIM3,0
SFTPA2,NA
MYL6B,NA
ITGB1BP2,NA
RPS21,NA
FEZ1,NA
PRKAB1,NA
ZNF512B,NA
DCAF11,NA
PPHLN1,NA
FUBP1,1
CETN3,NA
GAK,NA
SPRR2G,NA
ACTR2,NA
PPP6R1,0
DDX31,NA
ZFP42,NA
PAK6,NA
MGST1,NA
NDUFB10,NA
S100B,NA
NXNL1,NA
FLII,NA
CAPRIN1,NA
CAMK2A,NA
AKNAD1,0
SNRPB,NA
ALYREF,NA
RASGRP3,0
ATF7,NA
MRPS24,NA
CD164,NA
NAA38,NA
CPT1A,NA
BAHD1,NA
RBM15B,NA
CTNND2,1
TACO1,NA
TAGLN,NA
BRD2,NA
IMMT,NA
IRX1,NA
TCEAL6,0
FIP1L1,1
ALB,NA
AFAP1L2,NA
CDC42EP1,NA
DNAJB1,1
SERP1,NA
UBA52,NA
CCT2,NA
PCGF2,0
SAMM50,NA
TRAPPC2L,NA
SIK2,NA
CFI,NA
CEP72,NA
NOB1,0
ZNF346,NA
VRK3,0
WARS,NA
MAGEH1,NA
EIF2B1,NA
ELF2,0
BTBD1,0
CCT6A,NA
CLIC5,NA
SUGP1,NA
KIFAP3,NA
DNAJB11,NA
MED4,NA
RCN2,NA
WDR1,NA
CDH5,NA
AKAP8L,NA
DLGAP3,0
TNKS2,0
ZW10,NA
SCAF4,NA
PPIL1,NA
GOLGA1,NA
VAMP3,NA
CCDC136,NA
CDKL3,NA
ZNF239,NA
CEP63,NA
NOL9,0
XRN2,NA
AMFR,NA
RAB18,NA
NUP155,NA
AFF4,1
HELZ,NA
FKBP4,NA
TWF1,NA
TBCC,NA
RAPGEF3,0
TP53RK,NA
NOP56,NA
APOOL,NA
SMG1,NA
PYCR2,NA
NMT1,NA
IDH3G,NA
RAP2A,NA
DBN1,NA
SULT2A1,NA
PRDM7,0
NMT2,NA
JAZF1,1
SYNJ2BP,NA
POLR3G,NA
POLR3F,NA
DDX56,NA
CXCL14,NA
DHCR7,NA
FADS1,NA
MFN1,0
PDLIM5,0
GNG4,NA
CHD1,NA
PWP1,0
ANXA6,NA
HECTD3,0
CBX1,0
SS18,1
BLOC1S2,NA
RPL29,NA
RBBP4,0
KLK7,0
PACSIN3,NA
DMRT3,NA
BLVRA,NA
RNF41,0
MMP2,1
KLHL22,NA
AGXT,NA
EIF3A,NA
RPL5,1
ADH1B,1
BLOC1S5,NA
MMP8,NA
RNF213,1
NDUFS2,NA
IL25,NA
NR5A1,NA
LCN2,1
SETD2,1
SFXN1,NA
VDAC3,NA
SLC25A22,NA
SCTR,NA
CCDC59,0
CEACAM3,0
OTUD5,NA
WNT2B,NA
CORO2A,NA
OPRD1,NA
APBB1,NA
MTCH1,NA
EFEMP2,NA
LIMD1,NA
USP5,NA
SRI,NA
COPS7A,NA
NPHS2,0
RPS5,NA
ALDOB,NA
TMEM33,0
MYBL2,NA
PES1,NA
MAGT1,NA
DIP2A,0
MEF2A,NA
SPAG5,NA
RAE1,NA
GNMT,NA
POLR2K,NA
MAD2L1BP,NA
TRIP13,NA
DUSP4,NA
MAD1L1,NA
CMAS,NA
ZMAT1,NA
PPID,NA
SSTR1,NA
MYO5A,1
RABL6,NA
CLN3,NA
FADS2,NA
ADRA2C,NA
MBD2,NA
LYAR,NA
MRM3,0
CRBN,NA
POLD3,0
NECAB3,NA
MMP20,NA
DSPP,NA
HAVCR2,0
SLC6A12,NA
COPS4,NA
ADRA2B,NA
THAP1,NA
SNX7,NA
PLA2G4D,NA
ZNF175,NA
NOL6,NA
MEAF6,NA
GFI1B,NA
CALM2,NA
APOE,NA
ARVCF,NA
DMC1,NA
KLHDC3,NA
KRT6A,NA
EXOSC5,NA
ZBP1,NA
SCARF1,NA
CISD1,NA
VPS33B,NA
DCAF12,0
ENO3,NA
FDPS,NA
CDCA7L,NA
HELZ2,NA
RIPPLY1,NA
ARPC1B,NA
PTCD3,NA
TADA3,NA
RBM22,NA
NT5C2,1
NDUFS1,NA
MED21,NA
MTCP1,1
LATS1,NA
CHIT1,0
SLC5A5,1
ICAM3,NA
EIF4G2,NA
ARMC1,0
UTP4,NA
APH1A,NA
S100A13,NA
SNX18,0
MRPS22,NA
HOXB5,NA
ACAD10,NA
KCNIP3,NA
SIGLEC9,NA
GOLGA3,NA
ODF2,NA
MCM4,NA
DGKA,NA
LAS1L,NA
PPP6R3,0
DDX6,1
ATRX,1
DMBT1,NA
PSMA4,NA
FNBP1,1
SPRR1A,NA
ECI2,NA
SH2D1A,NA
MMGT1,0
C4orf3,0
CLDN5,NA
RPRM,NA
SGCB,NA
THOC1,NA
SAP30BP,NA
HSPH1,NA
UBE3A,NA
SALL2,NA
CCDC184,0
METAP2,NA
CSAD,NA
TK1,NA
GPR101,NA
GPX8,NA
ORC5,NA
CDC45,0
FANCL,0
KRTAP11-1,NA
ZNF101,NA
ZDHHC17,NA
SNAP25,NA
UBE2W,NA
RNF152,NA
SORBS1,NA
PICALM,1
SEM1,0
PFDN4,NA
VBP1,NA
TSC22D1,NA
CRB1,NA
DGLUCY,0
GJC2,NA
GPR35,NA
ENKD1,0
NABP2,0
PRNP,NA
SYNE4,NA
BRICD5,0
KIF21A,NA
NOSTRIN,NA
EDF1,0
NR5A2,NA
FIS1,0
MIEF1,0
PLEKHA7,NA
LARS,NA
GLRA1,NA
DMBX1,NA
GNPNAT1,NA
EHD1,NA
RBSN,NA
EBP,NA
SLC41A2,NA
SEPT12,NA
OPRK1,NA
PKIA,NA
DUSP23,0
NIF3L1,NA
BLZF1,0
ACTB,NA
CRB3,NA
UBIAD1,NA
SGO2,0
NAALADL2,NA
GRM2,NA
NAF1,NA
KRTAP19-7,0
PRKAG1,NA
ACSF2,NA
COQ9,NA
MYLIP,NA
VAC14,NA
UBE2Z,NA
DDIT4L,NA
KRTAP9-3,0
KRTAP5-9,NA
ZFAND2B,NA
DYSF,NA
SRSF2,1
IKZF1,1
NME7,NA
NR2E3,NA
KRTAP12-1,NA
HOXA1,NA
ZBTB1,NA
TFDP3,NA
STOM,NA
CYB5R3,NA
PKNOX2,NA
CTTNBP2NL,NA
NRAS,1
CYLC2,NA
TEKT3,NA
KRTAP6-2,0
TOX4,NA
OTX1,NA
SFI1,NA
CETN2,NA
HIST2H3A,0
HIST2H3C,NA
HIST2H3D,0
PLD3,NA
CNIH3,0
FRA10AC1,0
HIRIP3,NA
TMEM208,0
KRT34,NA
BATF3,NA
KRTAP5-11,0
RIMS3,NA
PICK1,NA
TMEM51,0
GLRX3,NA
CDKN2D,NA
INCA1,NA
PID1,NA
DGCR6L,NA
HIST1H2BH,NA
AXIN2,1
HACE1,NA
DRD2,NA
STIL,1
EMC2,NA
GOLM1,NA
PSEN2,NA
FASTK,NA
ADO,NA
ASAH1,NA
TMEM42,0
TMEM35A,0
AKAP17A,NA
WDR83,NA
DACH1,NA
TNRC6A,NA
HLA-B,NA
PLS3,NA
NDUFA1,NA
JAGN1,NA
CCDC155,NA
GALNT2,NA
SSX2IP,0
CYB5B,NA
TMEM237,NA
CNIH1,0
GPR152,0
PLEKHF1,NA
INO80B,NA
STX3,NA
MGST3,NA
TMEM229B,0
SNUPN,0
OPN4,NA
UBQLN2,NA
TMEM65,NA
ZSCAN4,NA
ELOVL4,NA
GIMAP5,NA
KRT35,NA
PI4KB,0
AUP1,NA
OPRM1,NA
TSG101,NA
CALML6,NA
PCP4,NA
POC5,NA
CREB5,NA
MGRN1,NA
PIGS,NA
TRIM2,NA
TRIM35,NA
MFSD10,0
SEC22A,NA
CD2BP2,NA
KCNE4,NA
PRPF6,NA
OXER1,0
TRIM59,NA
PLLP,NA
EXOC7,0
3-Mar,NA
DHRS1,NA
LRRC45,0
CCDC89,0
RINT1,NA
ARID5A,NA
NRSN1,NA
RNF24,NA
RABEP1,1
GGA2,0
RTKN,NA
MAST2,NA
NDRG4,NA
SYNGR3,NA
TBX15,NA
DTX2,NA
BCL2L13,0
STX8,NA
NAV2,NA
PSME1,NA
UBASH3A,NA
FOXD4L1,NA
PDZK1IP1,NA
EMC6,0
APOBEC1,NA
KRTAP19-5,0
ZFP64,NA
PTRH2,NA
NKG7,0
ZNF620,NA
TAF1,NA
ZNF648,0
RBM48,0
RBM23,0
S100P,NA
GPR151,0
FAM209A,0
CLSTN3,NA
TRAM1L1,NA
ZNF227,NA
LSM2,NA
HMGXB4,NA
ACD,NA
IPO5,NA
PELO,NA
ACADS,NA
KRTAP4-12,0
TMPRSS2,1
BMP10,NA
PMP22,NA
CHMP1A,NA
CLDND2,0
REEP4,NA
ACTR3,NA
ZBTB7A,NA
TTC19,NA
CRELD1,NA
PNMA1,NA
SS18L1,1
CCL11,NA
CCNL2,NA
MAPRE3,NA
APC2,NA
MTNR1A,NA
SLC10A6,NA
C16orf58,0
MAP1LC3B,NA
RETREG1,0
WNK1,NA
BICD2,NA
KRTAP9-4,0
SMARCD1,1
RFWD3,1
CA8,NA
IFT20,NA
NUP54,NA
HAAO,NA
POT1,1
POU6F2,NA
GMEB2,NA
TOM1L1,NA
PKN3,NA
PAK4,NA
CLDN7,0
NDUFB11,NA
PPIE,NA
NINJ2,NA
RIF1,0
HSF2BP,NA
ARHGAP45,0
USP6,1
MYL2,NA
CYB5R2,NA
GOLGA6A,0
TBX18,NA
ARC,NA
INTU,NA
DOCK5,NA
SH2B3,1
ERGIC3,NA
CCNE2,NA
HNRNPD,0
GEM,NA
ACOT13,NA
RBBP6,NA
PYGL,NA
PYGM,NA
HSD17B3,NA
PTGER3,NA
EXOSC8,NA
KDM6B,NA
KRTAP17-1,0
PLSCR4,NA
FNDC9,0
EMP3,NA
RANBP10,NA
SAT1,NA
SAT2,NA
ING4,NA
HIVEP1,NA
PRPF18,NA
FERMT3,NA
MAK,NA
ICK,NA
KIF1BP,0
HBP1,NA
DIS3,NA
EXOSC3,NA
KRTAP12-4,0
CLSPN,0
ACTR10,0
FFAR2,NA
SLC38A1,NA
ZNF707,0
CCNDBP1,NA
NICN1,NA
ZNF77,NA
IDE,NA
PIWIL1,NA
SUB1,NA
YIPF4,NA
SLC18A1,NA
KRTAP5-6,0
VENTX,NA
HOXC8,NA
PGK1,NA
POU1F1,NA
OCLN,NA
ZNF765,NA
CIB1,NA
TXN2,NA
RBM45,NA
MTHFS,NA
ZNF510,0
SPC25,NA
JADE2,0
UBXN7,NA
SPATA24,0
SLC2A1,NA
LTB4R2,NA
ADAM12,NA
KRTAP1-1,NA
MS4A12,NA
MALL,NA
TRIM72,NA
TCF12,1
SLC10A1,NA
CLDN19,NA
ZCCHC7,0
GIPC2,0
PNKD,NA
SERTM1,0
CLEC9A,NA
CNTRL,1
TXLNB,0
MSH6,1
SCGB3A1,NA
VPS51,NA
BTN2A2,NA
EMP1,NA
DGKI,NA
SLIRP,NA
STK40,NA
FKBP7,NA
MIEF2,0
TFAP2D,NA
KRTAP15-1,0
NLRC3,NA
DCBLD2,NA
SLC7A14,NA
EGR2,NA
JPT2,0
SLC32A1,NA
ZNF775,0
MPDZ,NA
OR1D2,NA
CLDN22,0
TMBIM6,NA
ARL6IP1,NA
ZSCAN18,0
PGBD1,0
GOSR1,NA
GPR182,0
RMDN3,0
FIGLA,NA
LHX3,NA
MAL2,0
FBP2,NA
FBP1,NA
ZNF202,NA
CATSPER1,NA
PDLIM7,NA
ZNF567,0
FAM161A,NA
HOOK2,NA
PDCD5,NA
HIST2H2BF,0
FUT8,NA
ZNF550,0
CKS1B,NA
RETREG3,0
KRTAP5-4,0
KRTAP5-2,0
SMCP,NA
CTAG2,NA
KRTAP13-2,0
MLF1,1
AKAP12,0
STX16,NA
GLYCTK,NA
SSBP1,NA
GCM2,NA
PLIN3,NA
AHSP,0
RFC2,NA
AK4,0
CHAF1A,NA
KIAA0753,NA
TNKS1BP1,NA
CNOT6L,NA
ZBTB42,NA
PSMB10,0
ZNF655,NA
WTAP,NA
RBM15,1
ZHX1,NA
ZDHHC16,NA
CNOT1,NA
FBXO4,NA
VAMP4,0
FAM110B,NA
KRTAP10-9,0
PNP,NA
KIF1B,NA
MCTS1,NA
CCT8,NA
GNB2,NA
PSMC4,NA
PSMD10,NA
PLEKHG6,NA
PRKAB2,NA
PLPP4,0
ZNF341,NA
CLK3,NA
HOXC5,NA
PHLDA3,NA
LXN,NA
KRT39,NA
KRT81,NA
BHLHB9,NA
BACH1,NA
KANSL1,NA
ABTB1,NA
TRIP11,1
MYBPC2,NA
BRPF1,NA
LDB2,NA
MINDY3,NA
ZNF460,0
PAXIP1,NA
AKAP1,NA
TAF3,NA
LPAR3,NA
TMEM242,0
SGPL1,NA
TAL1,1
PCDHGA9,NA
RAB6A,NA
KDM6A,1
VAMP1,NA
STX1B,NA
ZBTB47,0
NCKIPSD,1
CDKN2C,1
HTATIP2,NA
ZNF48,0
CTC1,NA
STN1,NA
CAPN6,NA
SEPT7,NA
C3orf52,NA
TIMMDC1,NA
ZNF250,0
HK2,NA
NR1D1,NA
PKMYT1,NA
YIPF1,NA
MAP7D3,NA
TSHZ3,NA
FAT1,1
MCM2,NA
HHATL,NA
VAX1,NA
GTF2IRD1,NA
MBD3L1,NA
ABHD16A,NA
GOLT1A,0
HERC1,NA
SCHIP1,0
WBP4,NA
PCSK5,NA
SPTBN2,NA
TMEM86A,0
PEX19,NA
MFF,NA
TMEM201,NA
OS9,NA
CAMSAP2,0
ANKRD23,NA
KRTAP2-3,0
TNP2,NA
GNG13,NA
PSMB7,NA
ZNF263,NA
ASXL1,1
GPR42,NA
TMEM140,0
WAC,NA
KRTAP8-1,0
RTN4,NA
HBQ1,NA
GAS2L2,NA
LRP2BP,0
SNRPB2,NA
STOML3,NA
KCNMA1,NA
HTATSF1,NA
TWF2,NA
ACTR3B,0
IFITM3,NA
SLC10A2,NA
MRPS9,NA
RETREG2,0
HJURP,NA
ANAPC11,NA
PPP3CB,NA
TFEB,1
UBE2E3,NA
DTX3,NA
TMEM248,0
SYS1,NA
NAP1L1,NA
FSD1,NA
CHFR,NA
SEC23B,NA
SNRPC,NA
CRLS1,NA
UNKL,NA
MCOLN1,NA
KRTAP3-2,0
STX2,NA
STXBP5L,NA
NDOR1,0
NRM,0
MELK,NA
MLLT3,1
ENTPD3,NA
GGT6,NA
AGAP1,NA
HMG20B,NA
POLD2,NA
ATP2C2,NA
VPS28,NA
SOX7,NA
LHFPL5,NA
TBCB,0
GAN,NA
RP1,NA
MCIDAS,0
MAGI1,NA
SYDE1,NA
BDKRB1,NA
BUB1B,1
DPYD,1
PDCD6,NA
MKRN3,NA
NSG2,0
RPS27,NA
MED28,NA
TOP3B,NA
CIAO1,NA
DBF4B,NA
PPP1R18,NA
PRPF38A,NA
PKD2,NA
PKD1,NA
ZNF835,0
SACM1L,NA
CACYBP,0
VPS26C,0
APIP,NA
GSTZ1,NA
SETD7,NA
KRTAP4-11,0
CDC14B,NA
SHISAL1,0
CHMP1B,NA
ABITRAM,0
ERP44,0
DPY30,NA
NAB2,1
RPS18,NA
SEC24D,NA
S1PR3,NA
BPTF,NA
NMNAT1,NA
TMEM218,0
SFT2D1,0
AQP6,NA
CAMSAP1,NA
NCKAP1,NA
VPS37A,NA
CLRN2,0
SIT1,0
GCAT,NA
GPR25,NA
ATP6AP1,NA
KRTAP13-3,NA
MTA3,0
SLC30A2,NA
SLC30A8,NA
TMEM9,NA
MYF5,NA
ZNF575,0
REG1B,0
CERS4,NA
TMEM254,0
RAB2B,NA
NPHP1,NA
